"","Austria","Belgium","Cyprus","Estonia","Finland","France","Germany","Greece","Ireland","Italy","Latvia","Lithuania","Malta","Netherlands","Portugal","Slovakia"
"1",19.5225072756979,21.7471938302462,6.88364372011797,6.91002087339622,15.5011493120443,16.3419160412403,14.5326106652427,13.0326360554528,17.1726513527775,5.50782139879,3.7569456866406,6.90365214485151,13.9643199458412,15.0019595461252,15.9350328942351,19.4808647582326
"2",12.2587691897921,13.8491561931466,3.26759155227827,6.53800903222121,9.65502723442942,11.233603474831,9.22818347193407,5.93842043982483,11.1092692421317,4.15661529876918,4.53455343631085,4.58280556379137,9.10917173146191,10.0733905846955,10.5635151900694,11.7856911858952
"3",6.03051091309302,7.06558797186424,0.0550231086590532,5.67365228738135,4.58414638086213,6.70808282971504,4.60369582527915,0.276165744845272,5.87682478873655,2.71899364251994,5.28250612803923,2.58311284670818,5.29009375533526,5.7400520613284,5.71370351155328,5.33034062034369
"4",1.31151907484128,1.88460596205801,-2.3916730799605,4.0818680832294,0.658516847318901,2.91124009841638,0.974035486174976,-3.15186065929884,1.80259265093747,1.10079576006312,5.56979840368171,0.972611656324254,2.66525686881622,2.14717515738716,1.56083324763629,0.50229713851468
"5",-1.59337665489708,-1.37861036671517,-3.61101915057155,1.94954263815135,-1.79506448176558,0.102763668401587,-1.39208473153225,-3.87942330085952,-0.826848722957712,-0.347629010217922,5.28208880424188,0.00244587060118698,1.23576839531749,-0.456035014144844,-1.53826956399218,-2.44479093516055
"6",-2.62094584873604,-2.65617249533601,-2.99984489590616,0.0669545181408182,-2.51159325914045,-1.29492685085408,-2.29197967152982,-1.92079400755605,-1.78311424686218,-0.640306245843454,4.75784798684976,0.185591275152808,0.778143373986675,-1.67169628513014,-2.96711415547961,-3.44865310766286
"7",-1.76174869494335,-1.93455594371625,-0.0408330809147336,-0.783872865712031,-1.29093981588371,-0.904413191634271,-1.57167815715784,2.60853371268371,-0.888807411397288,1.13900079375293,4.37908873623138,1.97545460125297,1.08001904386595,-1.14672588362566,-2.17072867638159,-2.4802085026054
"8",0.662802284785614,0.467636351886294,4.87422423464842,-0.334523653160164,1.50208564824987,1.11127169854079,0.512765358280402,8.98917433712479,1.59640803732168,4.79190888654739,4.6097446069115,5.07649152318357,2.19584258390278,0.94356149075836,0.640151907634009,0.3160561654596
"9",4.15009004518802,4.04987674552706,10.8555066998177,1.4020343900593,5.19323162010508,4.29301712863288,3.48070721101653,16.1709236038388,5.17343767280455,9.50942652568074,5.95851532213318,8.78295338692053,4.32620770556527,4.1343900677209,4.83531430322043,4.7005525525002
"10",8.3217023953501,8.39867599554175,17.150710572379,4.45756779539297,9.26967669905275,8.25012598641632,6.96705134179612,23.2042504894597,9.40875901521661,14.6561113106624,8.72918845783651,12.6507673031111,7.60152435073032,8.0506595100382,9.88521910573344,10.4292172974175
"11",13.1839198977735,13.3718414150741,23.442750643191,9.0091514689721,13.720898749485,12.8099295298577,10.966331705113,29.4571831928388,14.0764356737778,20.1452166173891,12.5988337503003,17.047223099496,11.9334585525218,12.5999746041183,15.5806593794007,17.247303511621
"12",18.7875182178106,18.8557129509591,29.4839743747902,15.2329056622708,18.608085845795,17.8223989242943,15.5186710040529,34.355134115623,18.9726437249923,25.9745412882232,17.1259301799896,22.4641936691002,17.1763173242474,17.7201964004733,21.7477826983346,24.8668660642273
"13",24.3597458643465,24.0739638588758,34.64432290763,22.4829173966418,23.308731656998,22.5965957531816,20.0091739052369,37.2378791508302,23.3945763514276,31.5737307802148,21.8843325060817,28.5408947927007,22.7304305149867,22.6737207562669,27.478185360534,32.1033320485456
"14",28.2005817532356,27.5041223910293,37.8631580723428,29.1876862215911,26.4305082037842,25.8325318510764,23.0854122528036,37.3487697689421,26.0775853180897,35.7327050061619,26.465208204107,33.9564731054982,27.4849618064227,25.9623877533932,31.0363785369168,36.7625496189968
"15",28.9052320926328,27.8994655913516,38.2693981175926,33.8880500962837,26.8537677336086,26.4666995236181,23.6438693757378,34.2387786534687,26.0046752820845,37.3877403812694,30.4307304305626,37.5176722493423,30.4196372069775,26.3605006116375,31.0005678033147,37.0611605381024
"16",27.4727764914429,26.2139173546281,36.4741064335795,36.2526390451816,25.6469179107618,25.3113788817391,22.5913097349819,29.6400826922839,24.0949913058119,36.7337947298129,33.1344268513233,39.2782688190339,31.3359304650817,24.825456772932,28.4443484703971,34.4562541340842
"17",25.9225159730796,24.3355545278576,33.7177714924349,36.4312105483564,24.8062510183314,23.9748644253429,21.6874073256283,26.20808653277,22.0893508161179,34.5008696456123,33.8429028334578,39.8219976396812,30.3848958841544,23.2412194943826,25.5007752993702,31.7799217417872
"18",25.3417252422813,23.3485758478644,30.772275687314,34.8085624449058,25.2788874182529,23.3155365155136,21.8397638154654,25.0783142483234,20.9671354390392,31.161036284563,32.3443371271449,39.4407914133955,27.6221970486308,22.6574215608302,23.4430585099496,30.5354568528024
"19",24.6201488461189,22.4413271706717,27.3036120503341,32.3172629428734,25.5401255369088,22.4238448970767,21.9476584884175,23.8091432741055,19.9125172234493,26.5760250184121,29.6524734911806,37.7367453102141,22.8764580984968,22.1563974315865,21.5160421478012,29.0938056997707
"20",22.4018064907522,20.5798354169274,22.8509212280718,29.911495275886,23.7986160642502,20.1958996954656,20.6829321057717,19.5978951690181,17.9015357164631,20.5647189337533,26.907961788897,34.2326018874277,16.0304608341096,20.5901883014839,18.7209201288711,25.4854547170909
"21",18.6312955481934,17.6585737652116,17.5479888129571,27.478262515212,19.9086537313075,16.6368953802189,17.8522119266483,12.4888421258221,14.8340857302933,13.7833588540204,24.3361355955831,28.8178362908808,8.59245586233468,17.7818393661127,14.9436563518506,19.7783378354696
"22",14.4082831080158,14.3965875708209,12.0567167780792,23.9567831275651,15.186063516511,12.7370269892627,14.2699523887807,5.05469162484536,11.4305568989093,7.63186019431794,21.3494173055441,21.7076264049799,3.51430599754563,14.4167644026205,10.8559970957607,13.8498879228132
"23",10.7157163865613,11.4297703052565,6.9886250369259,18.6272253556152,10.8410174201502,9.3861094710445,10.7032988725895,-0.494277977609458,8.34300133523537,3.27731477821209,17.5043629545292,13.3465474022958,3.05851868481329,11.1353664331467,7.07608548761821,9.35777908424539
"24",7.71124388464013,8.8057582520881,2.59359324970449,12.7368220360763,7.26056713871332,6.76572436386808,7.4861955909688,-4.31692012025926,5.71389798035094,0.525928678993034,13.2644782675358,5.32647011138848,5.59689957943635,8.18353968459272,3.79635709859305,6.4726191849635
"25",5.28327954840655,6.38162507189377,-0.996557710144138,8.16769728655176,4.56186723290422,4.82588163205986,4.81089265781509,-7.3415086622498,3.52009471430879,-1.25831237792448,9.38732033508939,-0.39547647457459,8.23832035559323,5.67839236248955,1.0711525376015,4.87769551209528
"26",3.43832705402198,4.22969738343956,-3.60627098702919,5.85488462255212,2.8457816312839,3.56649339950896,2.89528110884841,-9.82012666434944,1.87045406402217,-2.34710986312009,6.32299474212458,-2.90698700020049,9.26510774787977,3.78501916053209,-0.907903562024532,4.25431723838023
"27",2.39870358212369,2.81536702643665,-4.98004112238104,5.00418702155437,2.18372755657579,3.07879460659637,2.00419986376811,-10.7699101391718,1.11495708934864,-2.34678080773324,3.96015845176866,-3.20307617192296,9.10262726403684,2.75623243516704,-1.69847991441363,4.28069913655936
"28",2.35533861863058,2.57521222013626,-4.91188828178964,4.65718938161199,2.59403174983007,3.41909305445034,2.34437928314532,-9.21694576590558,1.56093838013995,-0.874565623181638,2.12964601274376,-2.46859348701858,8.36602081391223,2.79677662307861,-0.914527157273382,4.62305477064116
"29",2.79238599468233,3.02722393484135,-3.95044352497782,4.11308312744895,3.44543844833588,4.06316880529575,3.30200226267753,-6.0126326444059,2.62754270733119,1.38949622642151,0.687368218282167,-1.71743242155853,7.17252599510271,3.36498879901585,0.751245501309961,4.79582905276461
"30",2.69973199270642,3.04699995039078,-3.17205795175818,2.8512109745258,3.6524210756536,4.08082299363554,3.6894204104074,-3.28486078037018,3.1127794057137,3.02212082733133,-0.493227634655761,-1.84393222960957,5.29118229984384,3.39722295210547,1.85172347634187,4.20733092529714
"31",1.3059877446365,1.76786082043948,-3.48440121397245,0.468433667691792,2.38452113950826,2.75480079571065,2.60740814855395,-2.74127956859868,2.1106385946363,2.82142700033015,-1.58055059925587,-3.46023852699591,2.57940923291789,2.08135129308186,1.27860500316405,2.42837694332133
"32",-1.16476793086418,-0.593255721848823,-5.07710318303672,-2.98310231424284,-0.131162062585733,0.25294532627426,0.357529844608313,-4.30380466440789,-0.049985169299272,0.532148216750767,-2.91187448323386,-6.05953509886472,-0.723274389733806,-0.345837967738299,-0.659240627093627,-0.311474502717758
"33",-4.23082463551242,-3.54071196987548,-7.94290510443307,-7.32099055440799,-3.39383939341269,-3.02433330211402,-2.45243966745313,-7.43304005029305,-2.72609225666519,-3.84094420503862,-4.85338672837685,-8.85390537174883,-4.27357719438614,-3.37709482651137,-3.29299759899888,-3.6095168190897
"34",-6.98333184435004,-6.19895269483048,-11.2276090751856,-11.5617043897999,-6.44947291200699,-6.12629140496816,-4.92168672331995,-10.8645080811391,-5.01254261308748,-9.15346533515873,-7.12298309403779,-10.9891588495571,-7.32625984088819,-6.10394922726235,-5.6783176198009,-6.65061685076465
"35",-7.90265193239627,-7.14916131841272,-12.8659403721445,-13.5761588702216,-7.69590359220752,-7.3152382856855,-5.7303681032826,-12.2969039046678,-5.62934966439099,-12.6314448935092,-8.51153756859934,-11.5163369390828,-8.56131930513283,-7.04420830782651,-6.47685597198438,-8.02989393921945
"36",-5.69781081439614,-5.18564074404915,-11.0176447611741,-11.463117702068,-5.76141215335088,-5.08238844420374,-3.77596754649052,-9.70889084984999,-3.51536383491323,-11.7627393715706,-7.91358856604482,-9.66126019307232,-6.8568001175975,-4.94150735405357,-4.56621765535811,-6.54427768867698
"37",-1.66784967665535,-1.49785254138444,-6.8320474309509,-6.29015224433522,-1.9079638724078,-0.638543355089542,-0.300887537879052,-4.45910628839609,0.0633852656162419,-7.6730671992113,-5.86766277146838,-6.36054231545225,-3.36704733348401,-1.07606990409398,-1.13789513463128,-3.31318243020228
"38",1.4695963755086,1.41287229033413,-3.09601076329992,-0.751150818224271,1.1599433941416,3.31585425140827,2.1681620079543,0.242399450663405,2.566272486865,-3.48089819038087,-3.81283360588372,-3.48784023075468,-0.493191584435783,1.88255490574022,1.34926973310769,-0.728100442521899
"39",1.85131272293224,1.83245444994156,-1.77467454694766,3.00452992264167,1.57168421697719,4.84169950152079,1.95233280730972,2.04951266857331,2.28716619254283,-1.50910812363397,-2.83090793018095,-2.37606075367007,0.0828806957178524,2.11103431209856,1.20802179548331,-0.440053019422951
"40",0.265811878925376,0.490230733110763,-2.27439012666728,4.54008351146676,0.046403232836934,4.36978051807219,0.000290990991163698,1.31041543726687,0.106350882730067,-1.59041629470104,-2.88529417901517,-2.67864533527148,-1.08686973982227,0.411811815798792,-0.85467353663956,-1.80064713483563
