"Austria","Belgium","Cyprus","Estonia","Finland","France","Germany","Greece","Ireland","Italy","Latvia","Lithuania","Malta","Netherlands","Portugal","Slovakia"
19.5225072756979,21.7471938302462,6.88364372011797,6.91002087339622,15.5011493120443,16.3419160412403,14.5326106652427,13.0326360554528,17.1726513527775,5.50782139879,3.7569456866406,6.90365214485151,13.9643199458412,15.0019595461252,15.9350328942351,19.4808647582326
12.8240402759766,14.4608261694328,3.63417121950389,6.72803583512724,10.1316583357545,11.6387678835574,9.66490042230416,6.40615782430014,11.5752286271687,4.32811407877961,4.32517072742621,4.74183686139536,9.2897085043569,10.4511697437986,11.0356138650666,12.2879786701799
0.720407394132275,1.33100601706728,-2.76485360605278,5.78809937174838,0.32946331538875,3.25010725070661,0.773038392049741,-5.40389660969304,1.5453371571897,2.00777510485072,6.40652497480218,1.01333179031102,1.96694007989327,2.39709326197552,2.0481132209091,-0.129453391769568
-4.81003248884869,-5.0257926814937,-5.46054627475907,-1.81597172742472,-4.76722335624795,-3.64957744847768,-4.24677219330309,-3.96332608885565,-3.99241574329089,-3.24802216378073,4.34654205021419,-1.61618644832584,0.0194993957682725,-3.91941608935756,-5.85642129505132,-5.70007255411116
3.10269616428806,2.85083246331548,9.99865996133693,-0.282984143608737,4.5115083515362,3.10370578062931,2.67231860468941,15.6942473632911,4.07979554004181,8.68343448660803,3.94472570534846,8.48618464099041,2.69717589471155,3.02891678315478,3.47814615276383,2.65617907985543
15.2133674239347,15.7542051214389,27.2128552832129,10.0961198136825,15.750951785908,15.0409596824446,12.6796665135348,34.2618656110342,16.5709877754239,22.8617990682292,14.5330036307376,18.3085911783018,13.703811461991,14.6703030403572,18.4240449296574,20.53131686318
32.9769320147866,32.0237257640514,41.887674220575,33.0721305285495,30.5077860852561,29.757616486981,26.9276872173711,41.2654371265197,30.0641565860097,39.6086240426164,28.0112319812765,37.4071229907757,30.6589158894602,30.2963584356694,36.263508487588,43.2201952836902
24.3360984717374,23.0325358012459,34.1672811319008,38.9443893593502,22.5167390207259,22.8375781808988,19.9137882390312,22.7460169742907,20.8369130562014,36.1252845948039,36.904961906876,40.6402264507162,32.7080572698291,21.7116231931809,24.3872723811821,29.530703049191
26.4248440600827,23.495526500082,26.8567819849497,30.4737490891405,28.4918659337223,23.8560002323152,23.9977844899953,27.5267876857192,20.8952652153848,25.8420869316461,27.7342510041892,38.7599986261729,22.6493673831364,23.5571658421781,22.0114776445476,31.5413138555327
13.1251047209351,13.5587977312536,10.9302021498963,26.1876693399365,14.0001743455901,11.5012641519143,13.7334626125787,1.46905607237229,10.5732702147871,4.62175104686349,22.2948905384347,22.6627762747064,-3.25395315975797,13.8488320228774,9.96931178831026,11.17139365049
5.32270183744801,6.92321713731603,-1.14750351271148,6.04489106776625,4.08352361944431,4.54491974138276,4.68667330784035,-6.67486733593777,3.59383093615041,-1.41024508540416,9.30243129705858,-3.50110369463221,10.0069994704561,5.69530497660902,1.07023563875129,3.9752409391841
0.947885183084049,0.927358626030571,-6.97035463834301,4.71778957666436,0.888793734926908,2.05910075223732,0.373835676618051,-14.0497509092992,-0.493858259731631,-3.98127568278023,2.69910641428929,-3.66943162549522,9.22178758921006,1.23205942116566,-3.71728778763863,4.14460886399676
4.49520579174217,4.86548224978173,-1.70061054895597,4.28152097453179,5.66719760619858,5.89366553140525,5.73936126502594,-0.237540040314182,5.19338979605559,5.41998105894481,-0.65017848001664,0.205914853628452,6.36380968516506,5.26263834728368,4.20083480888161,5.7771296092179
-2.73031639381421,-2.10728792281285,-5.25955087638222,-4.73660762763669,-1.64305770579961,-1.14882491604505,-1.19475827427737,-4.70925361166521,-1.60302449020855,0.434076410988961,-3.05775830215729,-8.21782116667603,-2.92993253080727,-1.8992750976676,-1.97571058983657,-2.00914174908553
-12.0625103282883,-11.0518240015277,-17.8326112951273,-19.295430630219,-12.0360225385039,-11.9382510324055,-9.40194904756341,-17.8537239858217,-9.19945692543588,-19.2800483716483,-11.477338176802,-14.5279194113223,-12.5201607514508,-11.1097810339993,-10.0952640579697,-11.9901531897052
5.20491151225008,4.79557731113367,0.130583148852981,1.23234456150763,4.7593090219937,6.47548523130478,5.89285408548314,3.95884260322551,6.38656866296524,-0.596245164181135,-2.4467479297028,-1.20228859103352,2.59058022018597,5.5990457814238,4.92098070283741,2.40794802071631
-1.00108048577869,-0.653833038673023,-2.7522708813615,7.17313774332136,-1.09364307107942,4.32204119545593,-1.85961126461465,1.5511059430474,-1.64722293781233,-1.03955871067493,-2.50826129946393,-2.75525499807473,-1.83745271140398,-0.95912118797108,-2.22863317445954,-2.88294755817478
-6.99608613109793,-5.52551744547368,-6.69112390811767,-3.51228058776678,-7.39735644165849,-2.25067420136333,-6.12465114215389,-9.3128034872965,-8.16229361617907,-8.87166961195363,-7.09605179570634,-6.98704408464459,-7.90984672709702,-6.93499854893479,-10.2508429786459,-7.97305256347363
0.0218369013606937,2.59732239618547,-2.54329749301852,-4.90366033017057,-0.00637595320516292,3.50265576974399,2.53108328480447,-0.960184108463046,0.187811144726153,-2.29823987782921,-1.94103280273135,-5.42822371250844,-1.92014420196253,0.811501370972322,-0.242160375868385,-2.40898862860102
